instrument family,instrument,technique original,modulation technique,file_name,subset,label
Flutes,Flute,trill-major-second-up,trill,Fl-trill-maj2-G#6-mf.wav,training,1
Strings,Contrabass,tremolo,tremolo,Cb-trem-F#2-mf-2c.wav,test,2
Strings,Violoncello,tremolo,tremolo,Vc-trem-A4-pp-1c.wav,training,2
Horns,Horn,ordinario-to-flatterzunge,flatterzunge,Hn-ord_flatt-E4-f.wav,training,4
Trumpets,Trumpet-C,trill-major-second-up,trill,TpC-trill-maj2-A3-mf.wav,training,1
Saxophones,Alto-Sax,ordinario-to-flatterzunge,flatterzunge,ASax-ord_flatt-C#4-mf.wav,validation,4
Saxophones,Alto-Sax,flatterzunge-to-ordinario,flatterzunge,ASax-flatt_ord-G#4-mf.wav,test,4
Strings,Violin,trill-minor-second-up,trill,Vn-trill-min2-D6-mf-1c.wav,training,1
PluckedStrings,Harp,bisbigliando-with-stick,bisbigliando,Hp-bisb+stick-F4-mf.wav,test,3
Tubas,Bass-Tuba,flatterzunge,flatterzunge,BBTb-flatt-G#1-pp.wav,training,4
Strings,Violin-sordina,tremolo,tremolo,Vn+S-trem-B6-mf-1c 1.wav,training,2
Strings,Violin,tremolo,tremolo,Vn-trem-F4-ff-3c.wav,training,2
Strings,Viola,tremolo,tremolo,Va-trem-D#4-pp-4c.wav,training,2
Strings,Viola,tremolo,tremolo,Va-trem-C#6-mf-1c.wav,training,2
Strings,Viola,sul-ponticello-tremolo,tremolo,Va-pont-trem-A#5-mf-2c.wav,training,2
Horns,Horn-sordina,flatterzunge,flatterzunge,Hn+S-flatt-D2-mf.wav,validation,4
Oboes,Oboe,vibrato,vibrato,Ob-vib-A4-mf.wav,validation,0
Strings,Violoncello-sordina-piombo,tremolo,tremolo,Vc+SP-trem-C3-mf-3c.wav,test,2
Strings,Contrabass,trill-major-second-up,trill,Cb-trill-maj2-B1-mf-3c.wav,training,1
Strings,Viola,tremolo,tremolo,Va-trem-E4-mf-2c.wav,training,2
Strings,Viola-sordina,tremolo,tremolo,Va+S-trem-F#3-mf-4c.wav,training,2
Trombones,Tenor-Trombone,vibrato,vibrato,TTbn-vib-D4-p.wav,training,0
Saxophones,Alto-Sax,ordinario-to-flatterzunge,flatterzunge,ASax-ord_flatt-D#5-mf.wav,training,4
Strings,Violoncello,tremolo,tremolo,Vc-trem-F#5-pp-1c.wav,validation,2
Trombones,Tenor-Trombone,vibrato,vibrato,TTbn-vib-C#3-fff.wav,training,0
Strings,Viola,tremolo,tremolo,Va-trem-A5-pp-1c.wav,test,2
